title,text,link,source
"Top 10 Cybersecurity Tips Can Save Your Business From the Holiday Grinch, Says eMazzanti Technologies President Carl Mazzanti","With the holiday season approaching, cyberattacks targeting organizations of every size and category are surging, warns Carl Mazzanti, President and Co-Founder of eMazzanti Technologies, the leading Managed Services Provider, Microsoft expert and Watchguard Platinum partner.",https://finance.yahoo.com/news/top-10-cybersecurity-tips-save-194500430.html?.tsrc=rss,News
Apple could make $133 billion a year on humanoid robots by 2040: Morgan Stanley,Morgan Stanley predicts Apple could generated $133 billion a year from humanoid robots by the year 2040.,https://finance.yahoo.com/news/apple-could-make-133-billion-a-year-on-humanoid-robots-by-2040-morgan-stanley-194419260.html?.tsrc=rss,News
Microsoft President Sold $20 Million in Shares After Post-Earnings Stock Slide,"Vice Chair and President Brad Smith sold 38,500 shares as AI spending concerns weighed on Microsoft stock.",https://finance.yahoo.com/m/0a1e5d8a-a6e3-367d-a07e-594e2cc85cae/microsoft-president-sold-%2420.html?.tsrc=rss,News
"Magnificent Seven Stocks: Nvidia, Tesla, Meta, Microsoft Sell Off","Magnificent Seven stocks, including Nvidia and Tesla, are among the best to watch in today's stock market.",https://finance.yahoo.com/m/4205eaa9-f620-3a0b-a81a-0e82c7c9fd0b/magnificent-seven-stocks%3A.html?.tsrc=rss,News
"Duolingo: Speaking Growth Fluently, Despite the AI Noise","Duolingo is a strong growth story, as AI fears seem overstated and its vast user base, brand, and monetization potential point to significant upside.",https://finance.yahoo.com/news/duolingo-speaking-growth-fluently-despite-085418923.html?.tsrc=rss,News
Commerce.com Inc (CMRC) Q3 2025 Earnings Call Highlights: Strong Partnerships and Financial ...,"Commerce.com Inc (CMRC) reports solid revenue and operating income, bolstered by strategic alliances, while addressing growth hurdles and market uncertainties.",https://finance.yahoo.com/news/commerce-com-inc-cmrc-q3-190947377.html?.tsrc=rss,News
Warby Parker Inc (WRBY) Q3 2025 Earnings Call Highlights: Strong Revenue Growth and Strategic ...,"Warby Parker Inc (WRBY) reports a 15.2% revenue increase and strategic retail expansions, while navigating pricing shifts and consumer sentiment challenges.",https://finance.yahoo.com/news/warby-parker-inc-wrby-q3-190941756.html?.tsrc=rss,News
Alphabet (NASDAQ:GOOGL) Posted Healthy Earnings But There Are Some Other Factors To Be Aware Of,"Unsurprisingly, Alphabet Inc.'s ( NASDAQ:GOOGL ) stock price was strong on the back of its healthy earnings report. We...",https://finance.yahoo.com/news/alphabet-nasdaq-googl-posted-healthy-190548648.html?.tsrc=rss,News
Rapid7 Inc (RPD) Q3 2025 Earnings Call Highlights: Surpassing Revenue Expectations and ...,"Rapid7 Inc (RPD) reports strong financial performance and strategic partnerships, despite challenges in ARR targets and customer spending.",https://finance.yahoo.com/news/rapid7-inc-rpd-q3-2025-190307403.html?.tsrc=rss,News
IGEL Catalyses a New Era of EUC Transformation and Trusted Endpoint Security,"Europe’s premier EUC and endpoint security event brings together Microsoft, Omnissa, HP, Lenovo, Zscaler, Palo Alto Networks, and more to accelerate the future of Zero Trust, continuity, and resilient EUCFRANKFURT, Germany, Nov. 06, 2025 (GLOBE NEWSWIRE) -- IGEL, a global leader in secure endpoint delivery, adaptive secure desktop solutions, and the IGEL Secure Endpoint OS Platform for now and next, today concluded its second flagship event of the year—Now & Next 2025—in Frankfurt, Germany. The",https://finance.yahoo.com/news/igel-catalyses-era-euc-transformation-190200544.html?.tsrc=rss,News
